name_x,empty_slots,free_bikes,latitude,longitude,fsq_id,name_y,rating,categories,address,Name,Rating,Address,City,State,ZIP Code,Yelp_Latitude,Yelp_Longitude
56 - CLN 110 W1 Norte,9,2,-15.758862,-47.88882,537f6252498e54e075c1b714,Dulce Patagonia,8.9,"['Café', 'Pastry Shop', 'Restaurant']","Cln 309 Bl C, Brasília, DF, 70755-530",Marvin American Burgers,4.0,"CLN 110 Bloco A, 10",Brasilia,DF,70753520,-15.758862,-47.88882
56 - CLN 110 W1 Norte,9,2,-15.758862,-47.88882,537f6252498e54e075c1b714,Dulce Patagonia,8.9,"['Café', 'Pastry Shop', 'Restaurant']","Cln 309 Bl C, Brasília, DF, 70755-530",Talher Brasil,3.5,CLN 306 BL E  lj 7,Brasília,DF,70745-550,-15.758862,-47.88882
56 - CLN 110 W1 Norte,9,2,-15.758862,-47.88882,537f6252498e54e075c1b714,Dulce Patagonia,8.9,"['Café', 'Pastry Shop', 'Restaurant']","Cln 309 Bl C, Brasília, DF, 70755-530",Açaí da Amazônia,4.0,"CLN 311 Bloco B, 34",Brasília,DF,70757-520,-15.758862,-47.88882
56 - CLN 110 W1 Norte,9,2,-15.758862,-47.88882,537f6252498e54e075c1b714,Dulce Patagonia,8.9,"['Café', 'Pastry Shop', 'Restaurant']","Cln 309 Bl C, Brasília, DF, 70755-530",Nathely Pizzaria,4.0,CLN 107 BL D,Brasília,DF,70743-540,-15.758862,-47.88882
56 - CLN 110 W1 Norte,9,2,-15.758862,-47.88882,537f6252498e54e075c1b714,Dulce Patagonia,8.9,"['Café', 'Pastry Shop', 'Restaurant']","Cln 309 Bl C, Brasília, DF, 70755-530",Amor à Natureza,4.0,"CLN 310, Bloco A",Brasília,DF,70756-510,-15.758862,-47.88882
56 - CLN 110 W1 Norte,9,2,-15.758862,-47.88882,537f6252498e54e075c1b714,Dulce Patagonia,8.9,"['Café', 'Pastry Shop', 'Restaurant']","Cln 309 Bl C, Brasília, DF, 70755-530",Gordeixo Pizzaria,4.5,CLN 306 BL B  lj 13,Brasília,DF,70745-520,-15.758862,-47.88882
56 - CLN 110 W1 Norte,9,2,-15.758862,-47.88882,4e97331df5b91722c72e3cf2,Delícia de Bolo,8.1,"['Café', 'Restaurant']","Sclrn 709, Brasília, DF, 70750-510",Feitiço Mineiro Restaurante,4.5,CLN 306 BL D  lj 45/51,Brasília,DF,70745-540,-15.758862,-47.88882
56 - CLN 110 W1 Norte,9,2,-15.758862,-47.88882,4e97331df5b91722c72e3cf2,Delícia de Bolo,8.1,"['Café', 'Restaurant']","Sclrn 709, Brasília, DF, 70750-510",BFC,4.0,Cln 110 BLOCO B LOJA 62,Shcn,DF,,-15.758862,-47.88882
56 - CLN 110 W1 Norte,9,2,-15.758862,-47.88882,4e97331df5b91722c72e3cf2,Delícia de Bolo,8.1,"['Café', 'Restaurant']","Sclrn 709, Brasília, DF, 70750-510",Maori Gastronomia,4.5,"CLN, 110",Brasília,DF,70753-000,-15.758862,-47.88882
56 - CLN 110 W1 Norte,9,2,-15.758862,-47.88882,4e97331df5b91722c72e3cf2,Delícia de Bolo,8.1,"['Café', 'Restaurant']","Sclrn 709, Brasília, DF, 70750-510",Sushi Woman,4.0,CLN 109 BL A  lj 20,Brasília,DF,70752-510,-15.758862,-47.88882
