Name,Rating,Address,City,State,ZIP Code,Latitude,Longitude
Fran's Café,3.0,"CLN 209 Bloco D, 17",Brasília,DF,70854-540,-15.75737,-47.88223
Due Trattoria e Bruschetteria,4.0,Via L Um Norte,Brasilia,DF,70730-640,-15.75737,-47.88223
Casa de Biscoitos Mineiros,4.5,CLN 210,Brasília,DF,70862-540,-15.75737,-47.88223
Giraffas,3.5,"CLN 209 Bloco D, 9",Brasília,DF,70854-540,-15.75737,-47.88223
Vincent,4.5,"CLN, 409",Brasília,DF,70857-510,-15.75737,-47.88223
Feitiço Mineiro Restaurante,4.5,CLN 306 BL D  lj 45/51,Brasília,DF,70745-540,-15.75737,-47.88223
SushiBOM,4.0,"CLN 409, Bloco D, Loja 75",Brasília,DF,70857-540,-15.75737,-47.88223
Alfredo's,4.0,"SCLN, 408",Brasília,DF,70856-530,-15.75737,-47.88223
Hamburgueria do Francês,3.5,"CLN 409 Bloco B, 53",Brasília,DF,70857-520,-15.75737,-47.88223
Mucho Gusto Gastronomia,4.5,CLN 309 BL A  lj 20,Brasília,DF,70755-510,-15.75737,-47.88223
Bar Beirute,4.0,"CLN, 107",Brasília,DF,70372-510,-15.75737,-47.88223
Pinella,4.5,CLN 408,Brasília,DF,70856-520,-15.75737,-47.88223
Acarajé da Rosa,3.0,CLN 210,Brasília - Asa Norte,DF,70862-510,-15.75737,-47.88223
Fausto & Manoel,3.5,"CLN 209 Bl. A, 15",Brasília,DF,70854-510,-15.75737,-47.88223
Carcassonne Pub,4.0,CLN 407,Brasília,DF,70855-050,-15.75737,-47.88223
Xis Gaúcho,4.0,"CLN, 408",Brasília,DF,70856-500,-15.75737,-47.88223
Armazém do Mineiro,3.5,CLN 210 BL B  lj 45,Brasília,DF,70862-520,-15.75737,-47.88223
Stadt Bier,4.0,CLN 409,Brasília,DF,70857-510,-15.75737,-47.88223
El Paso Texas,4.0,CLN 110,Brasília,DF,70753-520,-15.75737,-47.88223
BFC,4.0,Cln 110 BLOCO B LOJA 62,Shcn,DF,,-15.75737,-47.88223
Sebinho,4.5,"CLN 406 Bloco C, 44",Brasília,DF,70847-530,-15.77163,-47.87505
Confraria Chico Mineiro,4.5,"SCLN, 104",Brasília,DF,70733-040,-15.77163,-47.87505
Nossa Cozinha Bistrô,4.0,"CLN 402 BL C, 60",Brasília,DF,70834-530,-15.77163,-47.87505
Fulo do Sertão,4.0,CLN 404 BL B  lj 16,Brasília,DF,70845-520,-15.77163,-47.87505
Daniel Briand Patissier & Chocolatier,4.0,"CLN, 104",Brasília,DF,70733-540,-15.77163,-47.87505
Sorbê Sorvetes Artesanais,4.0,"CLN 405, Bloco C",Brasília,DF,70846-530,-15.77163,-47.87505
Carcassonne Pub,4.0,CLN 407,Brasília,DF,70855-050,-15.77163,-47.87505
Restaurante Pequim,4.5,CLN 405 BL C  lj 15,Brasília,DF,70846-530,-15.77163,-47.87505
Naturetto Natural,4.0,"CLN 405, Bloco C",Brasília,DF,70846-530,-15.77163,-47.87505
Cantucci,4.0,"CLN 403 Bloco E, 03",Brasília,DF,70835-550,-15.77163,-47.87505
Los Baristas,4.0,"SCLN 404, Bloco C",Brasília,DF,,-15.77163,-47.87505
